LGQI.DU,MUL LY SG GQIN D,DUS
LNY1.F,L U ETF T SEC C EUR,FRA
LEMB.L,Lyxor ETF iBoxx $ Liquid EM Sovergn A/I,LSE
XMRC.L,DB X-TRACKERS DBX MSCI RUSSIA 2,LSE
H410.F,HSBC MSCI EMER G-CT,FRA
SXR4.SG,ISHS MSCI US USD-AC,STU
SCHO,Schwab Short-Term US Treasury ETF,PCX
PC40.LS,COMS CAC 40 IC,LIS
19JZ.L,NTPC/HSBC 16,LSE
AGG,iShares Core US Aggregate Bond,PCX
FDY-A.TO,FIRST TRUST ALPHADEX CDN DIV PL,TOR
ISQA.MU,ISH MSCI EAFE,MUN
DBPF.DE,DBXT ES50 LEV 1CC,GER
CD48.DE,COMS PSI 20 LEV IC,GER
SMLC.F,SOU CSOPCHA50 G-CT.,FRA
3630370.DE,UBS CAP SECS,GER
E2JA.BE,5.25 ERSTE FIN,BER
JPNS,Direxion Daily Japan Bear 3X ETF,PCX
108271.L,ISH L MSCI EM C,LSE
XMKI.SG,DBXT MSCI EMIND 1C,STU
JYN.TO,IPATH JPY USD EXCH RATE ETN,TOR
AMEL.SG,A LAT AM UC ETF EUR,STU
LYMS.BE,L U ETF N-100 D EUR,BER
RGI,Guggenheim S&P; 500 Eq Wt Indls ETF,PCX
CSEMU.MI,ISHS MSC EMU EUR-AC,MIL
FGM.MX,FRST TRST GM APHADX,MEX
VTS.AX,Vanguard US Total Market Shares ETF,ASX
GGBP,AdvisorShares Gartman Gold/Britsh Pd ETF,PCX
LCOP.MI,LCOP/ETFS,MIL
IUSM.DU,ISHS USD TRE B G-CT,DUS
VEFD.BE,MKT VCT VIETNAM ETF,BER
ISVF.BE,ISHS MSCI MAL ,BER
XY4P.HM,DBX ISE YP 1C,HAM
SXR2.MU,ISH MSCI CAN USD-AC,MUN
X504.DE,COMS ILSD5-7 IC,GER
XETL.MI,DBXT2 I EU5 DTR 1CC,MIL
PSDAX-57.TA,DAX/PSAGOT S57,TLV
IAUS.L,ISHARES III PLC ISHARES MSCI AU,LSE
XCBA.DE,DBXT2 I CR2DU 1CC,GER
IMEX.L,iShares MSCI Mexico IMI Capped,LSE
LNZD.L,ETFS FOREIGN EXCHANGE LIMITED E,LSE
IS3X.MU,ISH EUR CRP BD EX F,MUN
TA100-50.TA,TA100/TACHLIT C S50,TLV
LYYX.DU,L UC ETF E600 B RES,DUS
DX2Z.DU,DBX SEL FRONTIER 1C,DUS
C543.DU,COMS IGCC 7-10 IC,DUS
DWOD.L,iShares Global Timber & Forestry,LSE
XI13.DE,DBX MTS ITALY 1-3 D,GER
VE.TO,Vanguard FTSE Developed Europe ETF,TOR
AMEM.SG,A EM MKT UC ETF EUR,STU
091210.KS,TIGER KRX100 ETF,KSC
42BS.L,ALHOKAIR/HSBC 15ELN,LSE
PHSP.L,ETFS METAL SECURITIES LD ETFS P,LSE
161540.KS,ARIRANG Iron&Metal;,KSC
MSUE.L,UBS AG. London Branch,LSE
ISPA.HM,ISHSTGLSELD100,HAM
VUKE.L,Vanguard FTSE 100 ETF,LSE
PME50-49.TA,SX5E/PSGT IND S49,TLV
KSST-145.TA,SXXR/KSM SAL S145,TLV
XMK3.SG,DBXT E/N DE RE 2C,STU
DBX8.HM,DBXT MSCI KOREA 1C,HAM
IUST.MU,ISHS USD TIPS G-CT,MUN
DXS8.MU,DBXT SE600 BKSH 1C,MUN
QDVD.F,ISHS MSCI IQ USD,FRA
540M.F,AM WLD FIN ETF EUR,FRA
LYY1.DU,L UC ETF EMU SM CAP,DUS
UIMV.HM,UBS ETF STO GRE AD,HAM
SXRQ.MU,ISHS EUR GOV EUR-AC,MUN
SYBB.F,SPDR BA EUR GOV EUR,FRA
IQQN.SG,ISHS MSCI NH AM G-C,STU
3614484.DU,DBXT DB HFI ETF 1C,DUS
IBCI.PA,ISH EU IN LI EUR-AC,PAR
CIE1.L,ISHARES VII PLC ISHARES EUR INF,LSE
91PE.L,TRIPOD/HSBC WT21,LSE
M9SE.MU,RBS M A DJ T20,MUN
IQQ7.F,ISHS US PRO YI G-CT,FRA
10LH.L,FRIEN/HSBC WT21,LSE
MBG,SPDR Barclays Mortgage Backed Bond ETF,PCX
IUSB.BE,ISHS GL TI & FO G-C,BER
15KV.L,FOOD/HSBC 16,LSE
IDXJ,Market Vectors Indonesia Small-Cap ETF,PCX
UIMX.SG,UBS ETF MEI2035 AD,STU
60RT.L,ACC/HSBC WT19,LSE
63XZ.L,NINGBOP/HSBC WT21,LSE
QEM,Market Vectors MSCI EM Quality ETF,PCX
AIGI.MI,AIGI/ETFS,MIL
18M8.SG,AM EUR INDUS UC ETF,STU
CH5.MI,AM EU HEALTH UC ETF,MIL
3190442.BE,HYPO REAL VRN,BER
O120.L,ISHARES PLC ISHARES NIKKEI 225 ,LSE
GBUS.L,ETFS FOREIGN EXCHANGE LIMITED E,LSE
X60429.TI,BSKT/SG ISSUER 15,TLO
C052.DE,COMS ES50 D SH IC,GER
MXFS.L,SOURCE MARKETS PUBLIC LIMITED C,LSE
DXJT,WisdomTree Jpn Hdgd Tech.Media&Telec; ETF,PCX
TMV,Direxion Daily 20+ Yr Trsy Bear 3X ETF,PCX
4621509.DU,DBX I ESFSD 1C,DUS
XB4F.MU,DBX IELCF 1C,MUN
153270.KS,iKon 100,KSC
78JW.L,HUATAI/HSBC WT20,LSE
IYJ,iShares US Industrials,PCX
XSSX.SW,DBXT ES50 SH 1C,EBS
M9SH.BE,RBS M A D BRIC C,BER
AAEX.AS,AABF AEX ETF,AMS
LYQH.SG,L U ETF P AFR C EUR,STU
18433913.DU,8.5 BRAZIL 24 ,DUS
11KW.L,LPP/HSBC 15 ELN,LSE
CRB.PA,L UC ETF R/C C EUR,PAR
006201.TWO,YUANTA SECS INV TS P-SHARES TW ,TWO
11772504.DU,DBX IELCNF 1C,DUS
25116456.IR,VAN DEV WORLD USD,ISE
EXV8.DE,ISHSTEUCM(DE),GER
18MT.HM,AM CORP UCITS ETF C,HAM
D5BB.BE,DBXT2 I GU 1DD,BER
8523.DU,COMS ISGC10+ IC,DUS
XMEM.L,DB X-TRACKERS DBX MSCI EMERGING,LSE
PHAU.L,ETFS METAL SECURITIES LIMITED E,LSE
LYY2.F,L UCITS ETF MSCI,FRA
EES,WisdomTree SmallCap Earnings ETF,PCX
DXSE.F,DBXT SE600 HC 1C,FRA
18MX.DE,AM GR 1-3 UC ETF C,GER
IQQT.MU,ISHARES MSCI TA G-C,MUN
DXEL2.MC,DBXT ES50 LEV 1CC,MCE
UEFI.DE,UBS ETF BCU710Y AD,GER
LCFE.MI,LCFE/ETFS,MIL
SPY4.SG,SPDR S&P; 400 USD-AC,STU
JBSEEE.SW,J BAER S EQ EU SC,EBS
LSFT.MI,LSFT/ETFS,MIL
IBCI.AS,ISH EU IN LI EUR-AC,AMS
PDN,PowerShares FTSE RAFI DvMkt exUS S/M ETF,PCX
IJPN.SW,ISHS MSCI JAPAN USD,EBS
PWV,PowerShares Dynamic Large Cap Value ETF,PCX
SZO,PowerShares DB Crude Oil Short ETN,PCX
ZPRC.SG,SPDR REU CON BD USD,STU
TTPX.SG,AM JAP TEHD UC ETF ,STU
3XHA.F,HYPO REAL VRN,FRA
H4ZC.DU,HSBC MSCI JAP G-CT,DUS
141250.KS,ARIRANG KRX100EW,KSC
ZID.TO,BMO India Equity ETF,TOR
BAL,iPath DJ-UBS Cotton SubTR ETN,PCX
LYPM.DU,L U ETF E/N US D EU,DUS
EMHY.MX,ISHS EMMKT HYB,MEX
BJK.MX,MKT VECTORS GAMING,MEX
EUN6.HM,ISHS EUR GOV B G-CT,HAM
12429083.SG,BELGACOM 18 VRN,STU
21966705.SW,UBS ETF MC100HC AC,EBS
EMCB.L,SSGA SPDR ETFS EUROPE I PLC SPD,LSE
XDUK.DE,DBX FTSE100 DIR C,GER
UST.MI,L U ETF N-100 D EUR,MIL
C024.F,COMS FTSE CHA50 IC,FRA
VTV,Vanguard Value ETF,PCX
ZGLDGB.SW,ZKB GOLD ETF AA GBP,EBS
IXJ,iShares Global Healthcare,PCX
O007.L,ISHARES PLC ISHARES DIVDAX (OTC,LSE
IQQN.BE,ISHS MSCI NH AM G-C,BER
71QI.L,INDUSINDBK/HSBC 17,LSE
540L.F,A WLD ENERG ETF EUR,FRA
PMET.L,iPath S&P; GSCI Prec Mtls Idx TR (DE) ETN,LSE
50OJ.L,BAJAJAUT/BARCLAYS17,LSE
IS0J.SG,ISHS FIN GOV B G-CT,STU
FEX,First Trust Large Cap Core AlphaDEX ETF,PCX
HUSE,Huntington US Equity Rotation Strat ETF,PCX
GBSS.L,GOLD BULLION SECURITIES LD (GBS,LSE
HRIXT-87.TA,IXT/HAREL SAL S87,TLV
0080.TW,HANG SENG INV MGT HANG SENG H S,TAI
GGW8.MU,SAUR F-S GL ST G DD,MUN
TLTD,FlexShares Mstar DevMks exUS FctTilt ETF,PCX
EWP,iShares MSCI Spain Capped,PCX
EWCS,iShares MSCI Canada Small-Cap,PCX
091230.KS,TIGER SEMICON ETF,KSC
3OIL.L,Boost WTI Oil 3x Leverage Daily ETP,LSE
EXH6.MU,ISHSEU600MED,MUN
ENZL.MX,ISH MSCI NZ CP,MEX
WREI,Wilshire US REIT ETF,PCX
STS.PA,SSGA MSCI ST EUR-AC,PAR
DX2J.DU,DBXT MSCI EU SM 1C,DUS
VUS.TO,Vanguard US Total Market ETF CAD-H,TOR
PSGA.L,POWERSHARES GLBAL FUNDS IRELAND,LSE
1644700.SW,L UCITS MSCI EMU,EBS
WBID,WBI SMID Tactical Select ETF,PCX
BR50.MI,ISHS BRIC 50 USD ,MIL
73MD.L,CGC/HSBC 16 VRN,LSE
UC61.L,UBS ETF UBS ETF-MSCI JAPAN HEDG,LSE
39AZ.L,PUDO/HSBC WT19,LSE
IS0M.SG,ISHS ITL GOV B G-CT,STU
PPLT,ETFS Physical Platinum,PCX
EXXU.DU,ISHS DJCHOFSH50,DUS
XG7S.L,DB X-TRACKERS II DBXT GLOBAL SO,LSE
MIVO.L,Amundi ETF MSCI Europe Minimum Vol A/I,LSE
SPYD.HM,SPDR S&P; US DIV USD,HAM
X7S.PA,DBXT SE600 BKSH 1C,PAR
X58548.TI,EUR/TRY/SG ISSUER18,TLO
XWID.L,DB X-TRACKERS DBX MSCI WORLD IN,LSE
KCSVE5KSHB.ST,OMXS30/SHB CT 15,STO
FFVX,UBS E-TRACS Dly Sh 6Mo S&P500; VIX Fu ETN,PCX
IUTCF.PK,IUNITS S&P;/TSX GLOBA,PNK
XBAT.DU,DBX SOV EUR AAA 1C,DUS
94UR.L,OGI/HSBC WT20,LSE
PST75-17.TA,TA75/PSAGOT BAS S17,TLV
RWW.TO,First Asset MSCI Wld LRWgt ETF CADH Comm,TOR
EL49.SG,DK LQ CORP DF,STU
FKU,First Trust United Kingdom AlphaDEX ETF,PCX
EXSD.MU,ISHSSTXEUMD200,MUN
DBX4.HM,DBXT MSCI EMEA 1C,HAM
10640619.SW,JB PHYSSILVERAX CHF,EBS
XCT9.L,DB ETC INDEX PLC DB WTI CRUDE O,LSE
IUS8.DU,ISHS EM MK INFR G-C,DUS
18M2.DE,A EMU HI DIV UC ETF,GER
6PSG.DE,POWSHS GLO ENER EUR,GER
